Brand;Year;# Models;Sales
Parla          ;2015;2;
Philips        ;1996;1;
Philips        ;1997;2;
Philips        ;1999;5;
Philips        ;2000;8;
Philips        ;2001;1;
Philips        ;2002;6;
Philips        ;2003;6;
Philips        ;2004;12;
Philips        ;2005;12;
Philips        ;2006;15;
Philips        ;2007;15;
Philips        ;2008;15;
Philips        ;2009;19;
Philips        ;2010;24;
Philips        ;2011;27;
Philips        ;2012;23;
Philips        ;2013;23;
Philips        ;2014;4;
Philips        ;2015;9;
Plum           ;2011;19;
Plum           ;2012;16;
Plum           ;2013;16;
Plum           ;2014;19;
Plum           ;2015;8;
Plum           ;2016;12;
Posh           ;2014;14;
Posh           ;2015;9;
Posh           ;2016;7;
Prestigio      ;2013;42;
Prestigio      ;2014;14;
QMobile        ;2013;5;
QMobile        ;2014;28;
QMobile        ;2015;35;
QMobile        ;2016;11;
Qtek           ;2003;1;
Qtek           ;2004;9;
Qtek           ;2005;7;
Qtek           ;2006;4;
RIM            ;1992;0;
RIM            ;1993;0;
RIM            ;1994;0;
RIM            ;1995;0;
RIM            ;1996;0;
RIM            ;1997;0;
RIM            ;1998;0;
RIM            ;1999;0;
RIM            ;2000;0;
RIM            ;2001;0;
RIM            ;2002;0;
RIM            ;2003;0;
RIM            ;2004;0;
RIM            ;2005;0;
RIM            ;2006;0;
RIM            ;2007;0;
RIM            ;2008;0;
RIM            ;2009;0;
RIM            ;2010;0;474516
RIM            ;2011;0;515419
RIM            ;2012;0;342103
RIM            ;2013;0;
RIM            ;2014;0;
RIM            ;2015;0;
RIM            ;2016;0;
RIM            ;2017;0;
RIM            ;2018;0;
RIM            ;2019;0;
Sagem          ;1997;1;
Sagem          ;1998;4;
Sagem          ;1999;3;
Sagem          ;2000;5;
Sagem          ;2001;8;
Sagem          ;2002;4;
Sagem          ;2003;8;
Sagem          ;2004;17;
Sagem          ;2005;15;
Sagem          ;2006;20;
Sagem          ;2007;10;
Sagem          ;2008;24;
Sagem          ;2010;1;
Samsung        ;1992;0;
Samsung        ;1993;0;
Samsung        ;1994;0;
Samsung        ;1995;0;
Samsung        ;1996;0;
Samsung        ;1997;0;
Samsung        ;1998;0;4686
Samsung        ;1999;3;17687
Samsung        ;2000;5;20639
Samsung        ;2001;11;28234
Samsung        ;2002;11;41684
Samsung        ;2003;28;54475
Samsung        ;2004;31;85238
Samsung        ;2005;54;103754
Samsung        ;2006;77;116480
Samsung        ;2007;67;154541
Samsung        ;2008;96;199182
Samsung        ;2009;127;235772
Samsung        ;2010;109;2810658
Samsung        ;2011;123;3139042
Samsung        ;2012;91;3846312
